Process_ID,Interval,Layer,Sv_mean,NASC,Layer_depth_min,Layer_depth_max,Ping_S,Dist_S,Date_S,Time_S,Lat_M,Lon_M,Frequency
3966,2497995,9,-84.936085,0.696474,40.000000,45.000000,159,0.568405,20170630,04:20:03.0550,81.52926845,33.51802256,200.000000
3966,2497995,10,-85.905248,0.557171,45.000000,50.000000,159,0.568405,20170630,04:20:03.0550,81.52926845,33.51802256,200.000000
3966,2497995,11,-89.139749,0.254770,50.000000,55.000000,159,0.568405,20170630,04:20:03.0550,81.52926845,33.51802256,200.000000
3966,2497995,12,-89.521113,0.242327,55.000000,60.000000,159,0.568405,20170630,04:20:03.0550,81.52926845,33.51802256,200.000000
3966,2497995,13,-83.086150,1.066346,60.000000,65.000000,159,0.568405,20170630,04:20:03.0550,81.52926845,33.51802256,200.000000
3966,2497995,14,-81.913456,1.396907,65.000000,70.000000,159,0.568405,20170630,04:20:03.0550,81.52926845,33.51802256,200.000000
3966,2497995,15,-78.742825,2.898883,70.000000,75.000000,159,0.568405,20170630,04:20:03.0550,81.52926845,33.51802256,200.000000
3966,2497995,16,-72.503959,11.741589,75.000000,80.000000,159,0.568405,20170630,04:20:03.0550,81.52926845,33.51802256,200.000000
3966,2497995,17,-64.586954,75.477543,80.000000,85.000000,159,0.568405,20170630,04:20:03.0550,81.52926845,33.51802256,200.000000
3966,2497995,18,-74.247179,8.161975,85.000000,90.000000,159,0.568405,20170630,04:20:03.0550,81.52926845,33.51802256,200.000000
3966,2497995,19,-93.271450,0.102181,90.000000,95.000000,159,0.568405,20170630,04:20:03.0550,81.52926845,33.51802256,200.000000
3966,2497995,20,-106.899156,0.004432,95.000000,100.000000,159,0.568405,20170630,04:20:03.0550,81.52926845,33.51802256,200.000000
3966,2497995,21,-999.000000,0.000000,100.000000,105.000000,159,0.568405,20170630,04:20:03.0550,81.52926845,33.51802256,200.000000
3966,2497995,22,-999.000000,0.000000,105.000000,110.000000,159,0.568405,20170630,04:20:03.0550,81.52926845,33.51802256,200.000000
3966,2497995,23,-999.000000,0.000000,110.000000,115.000000,159,0.568405,20170630,04:20:03.0550,81.52926845,33.51802256,200.000000
3966,2497995,24,-91.500472,0.153626,115.000000,120.000000,159,0.568405,20170630,04:20:03.0550,81.52926845,33.51802256,200.000000
3966,2497995,25,-999.000000,0.000000,120.000000,125.000000,159,0.568405,20170630,04:20:03.0550,81.52926845,33.51802256,200.000000
3966,2497995,26,-999.000000,0.000000,125.000000,130.000000,159,0.568405,20170630,04:20:03.0550,81.52926845,33.51802256,200.000000
3966,2497995,27,-999.000000,0.000000,130.000000,135.000000,159,0.568405,20170630,04:20:03.0550,81.52926845,33.51802256,200.000000
3966,2497995,28,-999.000000,0.000000,135.000000,140.000000,159,0.568405,20170630,04:20:03.0550,81.52926845,33.51802256,200.000000
3966,2497995,29,-999.000000,0.000000,140.000000,145.000000,159,0.568405,20170630,04:20:03.0550,81.52926845,33.51802256,200.000000
3966,2497995,30,-999.000000,0.000000,145.000000,150.000000,159,0.568405,20170630,04:20:03.0550,81.52926845,33.51802256,200.000000
3966,2497995,31,-999.000000,0.000000,150.000000,155.000000,159,0.568405,20170630,04:20:03.0550,81.52926845,33.51802256,200.000000
3966,2497995,32,-999.000000,0.000000,155.000000,160.000000,159,0.568405,20170630,04:20:03.0550,81.52926845,33.51802256,200.000000
3966,2497995,33,-999.000000,0.000000,160.000000,165.000000,159,0.568405,20170630,04:20:03.0550,81.52926845,33.51802256,200.000000
3966,2497995,34,-999.000000,0.000000,165.000000,170.000000,159,0.568405,20170630,04:20:03.0550,81.52926845,33.51802256,200.000000
3966,2497995,35,-999.000000,0.000000,170.000000,175.000000,159,0.568405,20170630,04:20:03.0550,81.52926845,33.51802256,200.000000
3966,2497995,36,-95.351431,0.063295,175.000000,180.000000,159,0.568405,20170630,04:20:03.0550,81.52926845,33.51802256,200.000000
3966,2497995,37,-101.630521,0.014909,180.000000,185.000000,159,0.568405,20170630,04:20:03.0550,81.52926845,33.51802256,200.000000
3966,2497995,38,-999.000000,0.000000,185.000000,190.000000,159,0.568405,20170630,04:20:03.0550,81.52926845,33.51802256,200.000000
3966,2497995,39,-999.000000,0.000000,190.000000,195.000000,159,0.568405,20170630,04:20:03.0550,81.52926845,33.51802256,200.000000
3966,2497995,40,-999.000000,0.000000,195.000000,200.000000,159,0.568405,20170630,04:20:03.0550,81.52926845,33.51802256,200.000000
3966,2497995,41,-999.000000,0.000000,200.000000,205.000000,159,0.568405,20170630,04:20:03.0550,81.52926845,33.51802256,200.000000
3966,2497995,42,-999.000000,0.000000,205.000000,210.000000,159,0.568405,20170630,04:20:03.0550,81.52926845,33.51802256,200.000000
3966,2497996,5,-82.098220,1.338724,20.000000,25.000000,309,1.259774,20170630,04:30:03.4120,81.53749814,33.53902917,200.000000
3966,2497996,6,-83.145041,1.013022,25.000000,30.000000,309,1.259774,20170630,04:30:03.4120,81.53749814,33.53902917,200.000000
3966,2497996,7,-82.537418,1.209961,30.000000,35.000000,309,1.259774,20170630,04:30:03.4120,81.53749814,33.53902917,200.000000
3966,2497996,8,-82.191584,1.310252,35.000000,40.000000,309,1.259774,20170630,04:30:03.4120,81.53749814,33.53902917,200.000000
3966,2497996,9,-83.370436,0.998779,40.000000,45.000000,309,1.259774,20170630,04:30:03.4120,81.53749814,33.53902917,200.000000
3966,2497996,10,-84.691220,0.736871,45.000000,50.000000,309,1.259774,20170630,04:30:03.4120,81.53749814,33.53902917,200.000000
3966,2497996,11,-86.845703,0.432068,50.000000,55.000000,309,1.259774,20170630,04:30:03.4120,81.53749814,33.53902917,200.000000
3966,2497996,12,-89.491409,0.243990,55.000000,60.000000,309,1.259774,20170630,04:30:03.4120,81.53749814,33.53902917,200.000000
3966,2497996,13,-91.836262,0.142196,60.000000,65.000000,309,1.259774,20170630,04:30:03.4120,81.53749814,33.53902917,200.000000
3966,2497996,14,-93.993118,0.086537,65.000000,70.000000,309,1.259774,20170630,04:30:03.4120,81.53749814,33.53902917,200.000000
3966,2497996,15,-94.170253,0.083078,70.000000,75.000000,309,1.259774,20170630,04:30:03.4120,81.53749814,33.53902917,200.000000
3966,2497996,16,-93.410630,0.095293,75.000000,80.000000,309,1.259774,20170630,04:30:03.4120,81.53749814,33.53902917,200.000000
3966,2497996,17,-94.875697,0.070623,80.000000,85.000000,309,1.259774,20170630,04:30:03.4120,81.53749814,33.53902917,200.000000
3966,2497996,18,-98.466163,0.030896,85.000000,90.000000,309,1.259774,20170630,04:30:03.4120,81.53749814,33.53902917,200.000000
3966,2497996,19,-104.164459,0.008319,90.000000,95.000000,309,1.259774,20170630,04:30:03.4120,81.53749814,33.53902917,200.000000
3966,2497996,20,-107.479418,0.003878,95.000000,100.000000,309,1.259774,20170630,04:30:03.4120,81.53749814,33.53902917,200.000000
3966,2497996,21,-999.000000,0.000000,100.000000,105.000000,309,1.259774,20170630,04:30:03.4120,81.53749814,33.53902917,200.000000
3966,2497996,22,-999.000000,0.000000,105.000000,110.000000,309,1.259774,20170630,04:30:03.4120,81.53749814,33.53902917,200.000000
3966,2497996,23,-999.000000,0.000000,110.000000,115.000000,309,1.259774,20170630,04:30:03.4120,81.53749814,33.53902917,200.000000
3966,2497996,24,-999.000000,0.000000,115.000000,120.000000,309,1.259774,20170630,04:30:03.4120,81.53749814,33.53902917,200.000000
3966,2497996,25,-103.450278,0.009806,120.000000,125.000000,309,1.259774,20170630,04:30:03.4120,81.53749814,33.53902917,200.000000
3966,2497996,26,-999.000000,0.000000,125.000000,130.000000,309,1.259774,20170630,04:30:03.4120,81.53749814,33.53902917,200.000000
3966,2497996,27,-999.000000,0.000000,130.000000,135.000000,309,1.259774,20170630,04:30:03.4120,81.53749814,33.53902917,200.000000
3966,2497996,28,-999.000000,0.000000,135.000000,140.000000,309,1.259774,20170630,04:30:03.4120,81.53749814,33.53902917,200.000000
3966,2497996,29,-999.000000,0.000000,140.000000,145.000000,309,1.259774,20170630,04:30:03.4120,81.53749814,33.53902917,200.000000
3966,2497996,30,-999.000000,0.000000,145.000000,150.000000,309,1.259774,20170630,04:30:03.4120,81.53749814,33.53902917,200.000000
3966,2497996,31,-999.000000,0.000000,150.000000,155.000000,309,1.259774,20170630,04:30:03.4120,81.53749814,33.53902917,200.000000
3966,2497996,32,-999.000000,0.000000,155.000000,160.000000,309,1.259774,20170630,04:30:03.4120,81.53749814,33.53902917,200.000000
3966,2497996,33,-999.000000,0.000000,160.000000,165.000000,309,1.259774,20170630,04:30:03.4120,81.53749814,33.53902917,200.000000
3966,2497996,34,-999.000000,0.000000,165.000000,170.000000,309,1.259774,20170630,04:30:03.4120,81.53749814,33.53902917,200.000000
3966,2497996,35,-999.000000,0.000000,170.000000,175.000000,309,1.259774,20170630,04:30:03.4120,81.53749814,33.53902917,200.000000
3966,2497996,36,-999.000000,0.000000,175.000000,180.000000,309,1.259774,20170630,04:30:03.4120,81.53749814,33.53902917,200.000000
3966,2497996,37,-999.000000,0.000000,180.000000,185.000000,309,1.259774,20170630,04:30:03.4120,81.53749814,33.53902917,200.000000
3966,2497996,38,-999.000000,0.000000,185.000000,190.000000,309,1.259774,20170630,04:30:03.4120,81.53749814,33.53902917,200.000000
3966,2497996,39,-100.898990,0.017645,190.000000,195.000000,309,1.259774,20170630,04:30:03.4120,81.53749814,33.53902917,200.000000
3966,2497996,40,-96.614036,0.047327,195.000000,200.000000,309,1.259774,20170630,04:30:03.4120,81.53749814,33.53902917,200.000000
3966,2497996,41,-999.000000,0.000000,200.000000,205.000000,309,1.259774,20170630,04:30:03.4120,81.53749814,33.53902917,200.000000
3966,2497996,42,-999.000000,0.000000,205.000000,210.000000,309,1.259774,20170630,04:30:03.4120,81.53749814,33.53902917,200.000000
3966,2497996,43,-999.000000,0.000000,210.000000,215.000000,309,1.259774,20170630,04:30:03.4120,81.53749814,33.53902917,200.000000
